Timestamp (ms),Left Eye Center X,Left Eye Center Y,Right Eye Center X,Right Eye Center Y,Left Iris Relative Pos Dx,Left Iris Relative Pos Dy,Right Iris Relative Pos Dx,Right Iris Relative Pos Dy,Total Blink Count,Pitch,Yaw,Roll
1747809080146,463.0,240.5,387.5,235.0,88,5,-60,-5,0,0.0,0.0,0.0
1747809080146,463.0,240.5,387.5,235.0,88,5,-60,-5,0,0.0,0.0,0.0
1747809080200,464.0,239.5,387.0,233.5,91,6,-60,-6,0,-0.09639931646897537,-0.9612315108171838,-0.07960744159776212
1747809080200,464.0,239.5,387.0,233.5,91,6,-60,-6,0,-0.09639931646897537,-0.9612315108171838,-0.07960744159776212
1747809080271,464.5,240.0,387.5,234.5,90,6,-61,-5,0,-0.32648133669013646,-1.883394679344061,0.013277017599752305
1747809080271,464.5,240.0,387.5,234.5,90,6,-61,-5,0,-0.32648133669013646,-1.883394679344061,0.013277017599752305
1747809080318,464.5,240.0,387.5,235.0,89,6,-61,-5,0,-0.52754138890365,-2.332389151363886,0.08799084754194375
1747809080318,464.5,240.0,387.5,235.0,89,6,-61,-5,0,-0.52754138890365,-2.332389151363886,0.08799084754194375
1747809080390,466.0,240.5,388.0,234.0,91,7,-62,-6,0,-0.39772445053798133,-2.243458323628916,0.2163446946320695
1747809080390,466.0,240.5,388.0,234.0,91,7,-62,-6,0,-0.39772445053798133,-2.243458323628916,0.2163446946320695
1747809080451,465.0,241.0,388.0,235.0,90,7,-60,-6,0,-0.3318788021348711,-2.267978470062573,0.23552824896968794
1747809080451,465.0,241.0,388.0,235.0,90,7,-60,-6,0,-0.3318788021348711,-2.267978470062573,0.23552824896968794
1747809080508,465.5,241.0,389.0,235.5,90,6,-60,-6,0,-0.4783085568881189,-2.1628786059629235,0.18338726228016
1747809080508,465.5,241.0,389.0,235.5,90,6,-60,-6,0,-0.4783085568881189,-2.1628786059629235,0.18338726228016
1747809080571,466.0,241.0,388.5,235.0,90,7,-61,-5,0,-0.5402735705670061,-2.284951490290803,0.1554620560046054
1747809080571,466.0,241.0,388.5,235.0,90,7,-61,-5,0,-0.5402735705670061,-2.284951490290803,0.1554620560046054
1747809080631,464.5,241.0,387.0,234.5,90,7,-62,-6,0,-0.5573636272839497,-2.485025452364482,0.15391669002307395
1747809080631,464.5,241.0,387.0,234.5,90,7,-62,-6,0,-0.5573636272839497,-2.485025452364482,0.15391669002307395
1747809080689,462.0,241.0,386.5,234.0,88,8,-61,-7,0,-0.5467163946897724,-2.7990830438964363,0.21366836055439276
1747809080689,462.0,241.0,386.5,234.0,88,8,-61,-7,0,-0.5467163946897724,-2.7990830438964363,0.21366836055439276
1747809080756,462.0,239.5,385.5,233.5,89,6,-61,-6,0,-0.6588696853279945,-3.022722700021509,0.18547901512068865
1747809080756,462.0,239.5,385.5,233.5,89,6,-61,-6,0,-0.6588696853279945,-3.022722700021509,0.18547901512068865
1747809080815,460.0,240.5,384.5,237.0,89,4,-59,-2,0,-0.7101366566354503,-2.802224083252076,0.1131265692869734
1747809080815,460.0,240.5,384.5,237.0,89,4,-59,-2,0,-0.7101366566354503,-2.802224083252076,0.1131265692869734
