x,y,reaction_time_sec,timestamp,status
1687,591,0.86,2025-05-24 19:36:13,popped
1740,656,1.03,2025-05-24 19:36:14,popped
1310,605,1.0,2025-05-24 19:36:16,popped
291,729,0.95,2025-05-24 19:36:17,popped
155,665,0.91,2025-05-24 19:36:19,popped
925,527,0.93,2025-05-24 19:36:20,popped
164,830,1.05,2025-05-24 19:36:22,popped
1192,628,0.72,2025-05-24 19:36:23,popped
110,194,1.56,2025-05-24 19:36:25,popped
840,905,1.25,2025-05-24 19:36:27,popped
1183,806,0.89,2025-05-24 19:36:28,popped
563,778,0.76,2025-05-24 19:36:29,popped
701,498,0.66,2025-05-24 19:36:30,popped
1667,634,1.05,2025-05-24 19:36:32,popped
1499,673,0.72,2025-05-24 19:36:34,popped
447,122,1.21,2025-05-24 19:36:36,popped
648,309,0.53,2025-05-24 19:36:36,popped
397,949,0.98,2025-05-24 19:36:38,popped
1362,400,0.86,2025-05-24 19:36:40,popped
1351,868,0.81,2025-05-24 19:36:41,popped
92,710,1.21,2025-05-24 19:36:43,popped
477,461,0.89,2025-05-24 19:36:44,popped
