x,y,reaction_time_sec,timestamp,status
164,137,0.72,2025-04-04 20:28:54,popped
227,348,0.63,2025-04-04 20:28:55,popped
477,500,1.26,2025-04-04 20:28:57,popped
758,112,1.24,2025-04-04 20:29:00,popped
49,201,,2025-04-04 20:29:01,missed
302,362,0.65,2025-04-04 20:29:01,popped
389,512,1.29,2025-04-04 20:29:03,popped
426,192,0.97,2025-04-04 20:29:05,popped
747,288,0.76,2025-04-04 20:29:06,popped
767,331,0.73,2025-04-04 20:29:07,popped
189,82,1.07,2025-04-04 20:29:09,popped
537,133,0.58,2025-04-04 20:29:10,popped
240,55,0.83,2025-04-04 20:29:12,popped
656,174,0.79,2025-04-04 20:29:14,popped
365,219,0.55,2025-04-04 20:29:15,popped
548,346,0.66,2025-04-04 20:29:16,popped
224,554,1.18,2025-04-04 20:29:18,popped
583,398,0.79,2025-04-04 20:29:20,popped
