x,y,reaction_time_sec,timestamp,status
606,535,1.4,2025-05-21 16:21:33,popped
193,151,1.16,2025-05-21 16:21:34,popped
526,195,0.99,2025-05-21 16:21:36,popped
58,87,1.04,2025-05-21 16:21:37,popped
389,243,0.97,2025-05-21 16:21:39,popped
721,61,1.88,2025-05-21 16:21:41,popped
340,184,1.08,2025-05-21 16:21:42,popped
737,102,1.21,2025-05-21 16:21:43,popped
461,97,0.85,2025-05-21 16:21:45,popped
661,148,0.84,2025-05-21 16:21:46,popped
207,187,0.77,2025-05-21 16:21:47,popped
317,337,1.01,2025-05-21 16:21:49,popped
587,386,1.21,2025-05-21 16:21:52,popped
76,375,,2025-05-21 16:21:53,missed
81,321,1.31,2025-05-21 16:21:54,popped
749,157,1.44,2025-05-21 16:21:56,popped
141,236,2.03,2025-05-21 16:21:58,popped
539,234,1.57,2025-05-21 16:21:59,popped
45,549,1.32,2025-05-21 16:22:00,popped
455,101,0.97,2025-05-21 16:22:01,popped
459,203,0.93,2025-05-21 16:22:03,popped
134,451,1.26,2025-05-21 16:22:05,popped
