2025-04-10 11:46:29.590 [info] Reading sessions from keychain...
2025-04-10 11:46:29.590 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.590 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.590 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.590 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.590 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.591 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.591 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.591 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:29.591 [info] Getting sessions for all scopes...
2025-04-10 11:46:29.591 [info] Got 0 sessions for ...
2025-04-10 11:46:31.104 [info] Getting sessions for all scopes...
2025-04-10 11:46:31.104 [info] Got 0 sessions for ...
2025-04-10 11:46:34.131 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-04-10 11:46:34.131 [info] Got 0 sessions for read:user,repo,user:email,workflow...
